date,home,score,away,location
2012-02-14,Bayer Leverkusen,1-3,Barcelona,Leverkusen
2012-03-07,Barcelona,7-1,Bayer Leverkusen,Barcelona
2012-03-28,Milan,0-0,Barcelona,Milan
2012-04-03,Barcelona,3-1,Milan,Barcelona
2012-04-18,Chelsea,1-0,Barcelona,London
2012-04-24,Barcelona,2-2,Chelsea,Barcelona
2010-08-29,Racing Santander,0–3,Barcelona,Santander
2010-09-11,Barcelona,0–2,Hércules,Barcelona
2010-09-19,Atlético Madrid,1–2,Barcelona,Madrid
2010-09-22,Barcelona,1–0,Sporting Gijón,Barcelona
2010-09-25,Athletic Bilbao,1–3,Barcelona,Bilbao
2010-10-03,Barcelona,1–1,Mallorca,Barcelona
2010-10-16,Barcelona,2–1,Valencia,Barcelona
2010-10-23,Zaragoza,0–2,Barcelona,Zaragoza
2010-10-30,Barcelona,5–0,Sevilla,Barcelona
2010-11-07,Getafe,1–3,Barcelona,Getafe
2010-11-13,Barcelona,3–1,Villarreal,Barcelona
2010-11-20,Almería,0–8,Barcelona,Almería
2010-11-29,Barcelona,5–0,Real Madrid,Barcelona
2010-12-04,Osasuna,0–3,Barcelona,Pamplona
2010-12-12,Barcelona,5–0,Real Sociedad,Barcelona
2010-12-18,Espanyol,1–5,Barcelona,Cornellà de Llobregat
2011-01-02,Barcelona,2–1,Levante,Barcelona
2011-01-08,Deportivo La Coruña,0–4,Barcelona,A Coruña
2011-01-16,Barcelona,4–1,Málaga,Barcelona
2011-01-22,Barcelona,3–0,Racing Santander,Barcelona
2011-01-29,Hércules,0–3,Barcelona,Alicante
2011-02-05,Barcelona,3–0,Atlético Madrid,Barcelona
2011-02-12,Sporting Gijón,1–1,Barcelona,Gijón
2011-02-20,Barcelona,2–1,Athletic Bilbao,Barcelona
2011-02-26,Mallorca,0–3,Barcelona,Palma
2011-03-02,Valencia,0–1,Barcelona,Valencia
2011-03-05,Barcelona,1–0,Zaragoza,Barcelona
2011-03-13,Sevilla,1–1,Barcelona,Seville
2011-03-19,Barcelona,2–1,Getafe,Barcelona
2011-04-02,Villarreal,0–1,Barcelona,Villarreal
