Date;Heure;Dept;Com;Adresse;Code postal;Carr;Segm;Lieu 1 NomV;Lieu 2 NomV;Véhicule 1 Cadmin;Véhicule 1 LVeh;Véhicle 2 CAdmin;Véhicule 2 LVeh;Véhicule 3 CAdmin;Véhicule 3 LVeh;Usager 1 CatU;Usager 1 Grav;Usager 1 Lveh;Usager 2 CatU;Usager 2 Grav;Usager 2 Lveh;Usager 3 CatU;Usager 3 Grav;Usager 3 Lveh;Usager 4 CatU;Usager 4 Grav;Usager 4 Lveh;Coordonnées
2012-03-09;18:35;75;107;3, RUE DU BAC;75107;;;RUE DU BAC;;VL;A;Scoo50-125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.859206, 2.32916
2012-02-11;11:20;75;107;43, RUE DU BAC;75107;;;RUE DU BAC;;Scoo<=50;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.85646, 2.326685
2012-06-10;20:40;75;107;13, BOULEVARD RASPAIL;75107;;;BOULEVARD RASPAIL;;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;;48.854616, 2.326161
2012-03-21;10:55;75;107;199, BOULEVARD SAINT GER;75107;;;BOULEVARD SAINT GERMAIN;;Cyclo;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.855263, 2.327259
2012-03-22;15:05;75;107;22, RUE DES SAINTS PERES;75107;;;RUE DES SAINTS PERES;;VL;A;Scoo<=50;B;;;Cond;Indem;A;Cond;Indem;B;Pass;BL;B;;;;48.855982, 2.331274
2012-07-23;23:25;75;108;PLACE CHARLES DE GAULLE;75108;1_75108_2095;;PLACE CHARLES DE GAULLE;AVENUE DE WAGRAM;Scoo50-125;A;;;;;Cond;BL;A;;;;;;;;;;48.873377, 2.295581
2013-01-25;15:10;75;108;PLACE CHARLES DE GAULLE;75108;1_75108_2101;;PLACE CHARLES DE GAULLE;AVENUE MARCEAU;Scoo<=50;A;VL;B;;;Cond;BH;A;Cond;Indem;B;;;;;;;48.873377, 2.295581
2012-10-28;01:35;75;108;PLACE CHARLES DE GAULLE;75108;1_75108_2132;;PLACE CHARLES DE GAULLE;AVENUE DES CHAMPS ELYSEES;Moto>125;A;VL;Z;;;Cond;BL;A;;;;;;;;;;48.873377, 2.295581
2012-01-25;00:45;75;108;63, AVENUE HOCHE;75108;1_75108_2220;;AVENUE HOCHE;RUE DE TILSITT;VL;A;VL;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.876173, 2.30079
2013-02-27;18:00;75;108;133, AVENUE DES CHAMPS E;75108;1_75108_2232;;AVENUE DES CHAMPS ELYSEES;RUE DE PRESBOURG;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;;48.873413, 2.306997
2012-09-17;09:25;75;108;47, AVENUE DE FRIEDLAND;75108;1_75108_2246;;AVENUE DE FRIEDLAND;RUE DE TILSITT;Moto>125;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;;48.873809, 2.297525
2013-05-29;18:10;75;108;40, AVENUE DE FRIEDLAND;75108;1_75108_2375;;AVENUE DE FRIEDLAND;RUE ARSENE HOUSSAYE;VL;A;Moto>125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.874046, 2.297583
2013-08-23;17:25;75;108;32, AVENUE DE FRIEDLAND;75108;1_75108_2375;;AVENUE DE FRIEDLAND;RUE ARSENE HOUSSAYE;VU;A;Scoo50-125;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.874344, 2.29889
2013-11-29;18:10;75;108;38, AVENUE DE FRIEDLAND;75108;1_75108_2375;;AVENUE DE FRIEDLAND;RUE ARSENE HOUSSAYE;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.874268, 2.298202
2013-03-06;17:30;75;108;34, AVENUE MARCEAU;75108;1_75108_2410;;AVENUE MARCEAU;AVENUE PIERRE 1ER DE SERBIE;Moto>125;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.867836, 2.299424
2012-06-23;03:10;75;108;115, AVENUE DES CHAMPS E;75108;1_75108_2426;;AVENUE DES CHAMPS ELYSEES;RUE GALILEE;VL;Z;;;;;Piéto;BL;Z;;;;;;;;;;48.873413, 2.306997
2012-08-23;09:20;75;108;2, RUE BALZAC;75108;1_75108_2426;;RUE BALZAC;AVENUE DES CHAMPS ELYSEES;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;;48.872882, 2.300035
2013-10-08;14:25;75;108;117, AVENUE DES CHAMPS E;75108;1_75108_2426;;AVENUE DES CHAMPS ELYSEES;RUE BALZAC;Scoo<=50;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.873413, 2.306997
2012-10-21;02:10;75;108;35, AVENUE DE FRIEDLAND;75108;1_75108_2435;;AVENUE DE FRIEDLAND;RUE CHATEAUBRIAND;Scoo<=50;A;VL;B;;;Cond;Indem;A;Cond;Indem;B;Pass;BL;A;;;;48.874044, 2.299669
2013-05-15;14:35;75;108;28, AVENUE DE FRIEDLAND;75108;1_75108_2435;;AVENUE DE FRIEDLAND;RUE CHATEAUBRIAND;VL;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.874431, 2.299659
2012-08-04;10:00;75;108;AVENUE DES CHAMPS ELYSEE;75108;1_75108_2508;;AVENUE DES CHAMPS ELYSEES;RUE DE BASSANO;VL;A;Scoo<=50;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.870842, 2.304316
2012-01-07;00:01;75;108;23, AVENUE GEORGE V;75108;1_75108_2570;;AVENUE GEORGE V;RUE DU BOCCADOR;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;Pass;BL;B;;;;48.865559, 2.301122
2013-05-17;09:00;75;108;9, AVENUE GEORGE V;75108;1_75108_2582;;AVENUE GEORGE V;RUE DE LA TREMOILLE;Moto>125;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;;48.865974, 2.301087
2012-03-19;19:00;75;108;67, BOULEVARD DE COURCEL;75108;1_75108_2626;;BOULEVARD DE COURCELLES;RUE THEODULE RIBOT;VL;A;VL;B;;;Cond;Indem;A;Cond;Indem;B;Pass;BL;B;;;;48.878705, 2.301897
2013-09-07;16:35;75;108;6, RUE MARBEUF;75108;1_75108_2642;;RUE MARBEUF;RUE DU BOCCADOR;VL;A;Moto50-125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.8673, 2.30217
2012-04-09;19:15;75;108;PORT DE LA CONFERENCE;75108;1_75108_2664;;PORT DE LA CONFERENCE;COURS ALBERT 1ER;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.864157, 2.302522
2013-03-21;12:30;75;108;19, AVENUE DE FRIEDLAND;75108;1_75108_2666;;AVENUE DE FRIEDLAND;RUE LAMENNAIS;Scoo50-125;A;;;;;Cond;BL;A;;;;;;;;;;48.874378, 2.302641
2013-05-15;12:30;75;108;93, AVENUE DES CHAMPS EL;75108;1_75108_2695;;AVENUE DES CHAMPS ELYSEES;RUE QUENTIN BAUCHART;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;;48.871256, 2.301828
2013-04-09;18:00;75;108;52, RUE FRANCOIS 1ER;75108;1_75108_2711;;RUE FRANCOIS 1ER;RUE PIERRE CHARRON;VL;A;Moto50-125;B;VL;C;Cond;Indem;A;Cond;BL;B;Cond;Indem;C;;;;48.869136, 2.303148
2012-11-16;06:00;75;108;94, RUE DE COURCELLES;75108;1_75108_2736;;RUE DE COURCELLES;BOULEVARD DE COURCELLES;VL;Z;;;;;Piéto;BL;Z;;;;;;;;;;48.878929, 2.303747
2013-11-21;17:15;75;108;228, RUE DU FAUBOURG SAI;75108;1_75108_2741;;RUE DU FAUBOURG SAINT HONORE;RUE BALZAC;VL;A;;;;;Piéto;BH;A;Cond;Indem;A;;;;;;;48.875986, 2.30316
2012-11-19;13:00;75;108;15, AVENUE DE FRIEDLAND;75108;1_75108_2779;;AVENUE DE FRIEDLAND;PLACE GEORGES GUILLAUMIN;VL;A;VL;B;VL;C;Cond;BL;A;Cond;BL;B;Pass;BL;B;Cond;Indem;C;48.874424, 2.30305
2012-07-28;03:15;75;108;78, AVENUE DES CHAMPS EL;75108;1_75108_2804;;AVENUE DES CHAMPS ELYSEES;ARCADES DES CHAMPS ELYSEES;VL;A;;;;;Cond;Indem;A;Pass;BL;A;;;;;;;48.870985, 2.303976
2012-06-22;01:30;75;108;3, AVENUE DE FRIEDLAND;75108;1_75108_2853;;AVENUE DE FRIEDLAND;RUE BERRYER;VL;A;;;;;Pass;BL;A;Pass;BL;A;Cond;BL;A;;;;48.874577, 2.304422
2012-09-13;08:00;75;108;3, AVENUE DE FRIEDLAND;75108;1_75108_2853;;AVENUE DE FRIEDLAND;RUE BERRYER;Moto>125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.874577, 2.304422
2013-05-30;19:15;75;108;1, PLACE DU GENERAL BROC;75108;1_75108_2893;;PLACE DU GENERAL BROCARD;RUE DE COURCELLES;Scoo50-125;A;;;;;Cond;BL;A;;;;;;;;;;48.878004, 2.305475
2013-01-07;10:45;75;108;1, AVENUE HOCHE;75108;1_75108_2893;;AVENUE HOCHE;RUE DE COURCELLES;VL;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.876173, 2.30079
2012-05-25;15:40;75;108;72, RUE PIERRE CHARRON;75108;1_75108_2898;;RUE PIERRE CHARRON;AVENUE DES CHAMPS ELYSEES;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.870443, 2.305216
2012-10-24;09:10;75;108;RUE PIERRE CHARRON;75108;1_75108_2898;;RUE PIERRE CHARRON;AVENUE DES CHAMPS ELYSEES;VL;A;;;;;Cond;Indem;A;Piéto;BH;A;;;;;;;48.869487, 2.30327
2012-03-27;18:00;75;108;1, AVENUE DE FRIEDLAND;75108;1_75108_2902;;AVENUE DE FRIEDLAND;RUE DU FAUBOURG SAINT HONORE;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.874617, 2.304776
2013-06-03;08:10;75;108;RUE DE COURCELLES;75108;1_75108_2931;;RUE DE COURCELLES;RUE MURILLO;PL>7,5;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.876252, 2.307689
2012-07-07;02:30;75;108;29, RUE D ARTOIS;75108;1_75108_2975;;RUE D ARTOIS;RUE DE BERRI;VL;A;VL;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.873553, 2.306606
2012-05-09;18:35;75;108;44, AVENUE DES CHAMPS EL;75108;1_75108_2984;;AVENUE DES CHAMPS ELYSEES;RUE DU COLISEE;VU;A;;;;;Piéto;BL;A;Piéto;BL;A;Cond;Indem;A;;;;48.870161, 2.307551
2012-04-12;11:45;75;108;98 RUE LA BOETIE;75108;1_75108_3148;;RUE LA BOETIE;RUE D ARTOIS;VU;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.87211, 2.308805
2012-10-17;06:20;75;108;ROND POINT CHAMPS ELYSEE;75108;1_75108_3156;;ROND POINT CHAMPS ELYSEES;AVENUE DES CHAMPS ELYSEES;VL;A;Cyclo;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.869149, 2.309678
2013-02-11;18:30;75;108;21, ROND POINT CHAMPS EL;75108;1_75108_3156;;ROND POINT CHAMPS ELYSEES;AVENUE DES CHAMPS ELYSEES;Moto>125;A;Bus;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.869149, 2.309678
2013-04-15;06:15;75;108;159, BOULEVARD HAUSSMANN;75108;1_75108_3157;;BOULEVARD HAUSSMANN;RUE DE COURCELLES;Scoo>125;A;VL;Z;;;Cond;BL;A;;;;;;;;;;48.874993, 2.309105
2013-02-08;17:30;75;108;60, AVENUE MONTAIGNE;75108;1_75108_3166;;AVENUE MONTAIGNE;ROND POINT CHAMPS ELYSEES;VL;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;;48.868261, 2.309189
2012-01-01;05:15;75;108;PLACE CHASSAIGNE GOYON;75108;1_75108_3232;;RUE DU FAUBOURG SAINT HONORE;PLACE CHASSAIGNE GOYON;VL;Z;;;;;Piéto;BL;Z;;;;;;;;;;
2012-12-16;19:35;75;108;30, AVENUE FRANKLIN D RO;75108;1_75108_3236;;AVENUE FRANKLIN D ROOSEVELT;RUE LA BOETIE;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.872481, 2.31021
2012-09-09;23:15;75;108;ROND POINT CHAMPS ELYSEE;75108;1_75108_3244;;AVENUE DES CHAMPS ELYSEES;AVENUE MATIGNON;Scoo>125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.869149, 2.309678
2012-01-10;23:40;75;108;ROND POINT CHAMPS ELYSEE;75108;1_75108_3244;;AVENUE DES CHAMPS ELYSEES;AVENUE MONTAIGNE;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.869149, 2.309678
2013-02-14;13:30;75;108;20, AVENUE DES CHAMPS EL;75108;1_75108_3244;;AVENUE DES CHAMPS ELYSEES;AVENUE FRANKLIN D ROOSEVELT;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.869356, 2.309084
2013-09-18;10:00;75;108;COURS LA REINE;75108;1_75108_3259;;COURS LA REINE;AVENUE FRANKLIN D ROOSEVELT;VL;A;VL;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.8649, 2.314116
2013-01-26;07:43;75;108;COURS ALBERT 1ER;75108;1_75108_3261;;COURS ALBERT 1ER;PLACE DU CANADA;VL;A;VU;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.864895, 2.30623
2013-03-07;15:00;75;108;PONT DES INVALIDES;75108;1_75108_3261;;PLACE DU CANADA;COURS LA REINE;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.85191, 2.314929
2013-11-11;00:01;75;108;PLACE DU CANADA;75108;1_75108_3261;;PLACE DU CANADA;COURS ALBERT 1ER;Bicy;A;VL;B;;;Cond;Indem;B;Cond;BH;A;;;;;;;48.864839, 2.310224
2012-09-07;18:40;75;108;113, RUE DU FAUBOURG SAI;75108;1_75108_3295;;RUE DU FAUBOURG SAINT HONORE;RUE LA BOETIE;Scoo<=50;A;VL;B;;;Cond;Indem;A;Pass;BH;A;Cond;Indem;B;;;;48.87276, 2.310814
2013-10-04;18:12;75;108;91, RUE DU FAUBOURG SAIN;75108;1_75108_3405;;RUE DU FAUBOURG SAINT HONORE;RUE DE PENTHIEVRE;Scoo<=50;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.872035, 2.313083
2013-01-05;04:10;75;108;130, RUE DU FAUBOURG SAI;75108;1_75108_3405;;RUE DU FAUBOURG SAINT HONORE;RUE DU COLISEE;Moto50-125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.872404, 2.312397
2013-10-24;17:20;75;108;126, RUE DU FAUBOURG SAI;75108;1_75108_3405;;RUE DU FAUBOURG SAINT HONORE;RUE DE PENTHIEVRE;Scoo50-125;A;Moto50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.872205, 2.312808
2012-02-14;19:30;75;108;11, PLACE DE NARVIK;75108;1_75108_3408;;PLACE DE NARVIK;AVENUE DE MESSINE;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.879728, 2.320112
2012-12-09;16:40;75;108;94, BOULEVARD MALESHERBE;75108;1_75108_3410;;BOULEVARD MALESHERBES;BOULEVARD DE COURCELLES;Bicy;A;Scoo>125;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.875751, 2.318199
2013-12-11;23:20;75;108;BOULEVARD DE COURCELLES;75108;1_75108_3410;;BOULEVARD DE COURCELLES;BOULEVARD MALESHERBES;Scoo50-125;A;;;;;Cond;BL;A;Piéto;Indem;A;Pass;BL;A;;;;48.879596, 2.306889
2013-09-29;00:10;75;108;142, BOULEVARD HAUSSMANN;75108;1_75108_3428;;BOULEVARD HAUSSMANN;RUE DE TEHERAN;VL;A;;;;;Cond;BL;A;;;;;;;;;;48.875226, 2.312939
2013-09-25;09:15;75;108;113, BOULEVARD MALESHERB;75108;1_75108_3475;;BOULEVARD MALESHERBES;AVENUE VELASQUEZ;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.880142, 2.313328
2013-08-14;15:05;75;108;COURS LA REINE;75108;1_75108_3487;;COURS LA REINE;PONT ALEXANDRE III;Moto>125;A;Scoo50-125;B;;;Cond;BL;A;Cond;BH;B;;;;;;;48.8649, 2.314116
2012-06-01;15:30;75;108;AVENUE DES CHAMPS ELYSEE;75108;1_75108_3499;;AVENUE DES CHAMPS ELYSEES;PLACE CLEMENCEAU;Moto>125;A;Cyclo;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.870842, 2.304316
2013-05-20;16:45;75;108;AVENUE DES CHAMPS ELYSEE;75108;1_75108_3499;;ALLEE MARCEL PROUST;AVENUE DES CHAMPS ELYSEES;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.870842, 2.304316
2013-06-29;18:35;75;108;AVENUE DES CHAMPS ELYSEE;75108;1_75108_3499;;AVENUE DES CHAMPS ELYSEES;PLACE CLEMENCEAU;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.870842, 2.304316
2012-03-13;14:40;75;108;AVENUE WINSTON CHURCHILL;75108;1_75108_3502;;AVENUE WINSTON CHURCHILL;PLACE CLEMENCEAU;VL;A;Scoo>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.866084, 2.313813
2013-07-17;17:00;75;108;AVENUE WINSTON CHURCHILL;75108;1_75108_3502;;AVENUE WINSTON CHURCHILL;PLACE CLEMENCEAU;VL;A;VL;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.866084, 2.313813
2013-04-10;22:15;75;108;AVENUE WINSTON CHURCHILL;75108;1_75108_3502;;AVENUE WINSTON CHURCHILL;PLACE CLEMENCEAU;VL;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.866084, 2.313813
2012-12-02;07:10;75;108;30, AVENUE MATIGNON;75108;1_75108_3520;;AVENUE MATIGNON;RUE DU FAUBOURG SAINT HONORE;VL;A;Bus;B;;;Cond;BH;A;Cond;BL;B;;;;;;;48.871009, 2.313326
2012-05-07;13:30;75;108;AVENUE DES CHAMPS ELYSEE;75108;1_75108_3553;;AVENUE DES CHAMPS ELYSEES;PLACE CLEMENCEAU;Scoo50-125;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.870842, 2.304316
2012-03-18;14:40;75;108;AVENUE DE MARIGNY;75108;1_75108_3559;;AVENUE DE MARIGNY;AVENUE GABRIEL;Cyclo;A;;;;;Cond;BL;A;;;;;;;;;;48.870131, 2.315327
2013-05-14;10:00;75;108;AVENUE DE MARIGNY;75108;1_75108_3559;;AVENUE DE MARIGNY;AVENUE GABRIEL;Scoo50-125;A;Bicy;B;;;Cond;BL;A;Cond;BH;B;;;;;;;48.870131, 2.315327
2012-02-11;11:30;75;108;BOULEVARD MALESHERBES;75108;1_75108_3612;;BOULEVARD MALESHERBES;RUE DE MIROMESNIL;Cyclo;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.875751, 2.318199
2013-10-21;18:00;75;108;13, RUE DE LISBONNE;75108;1_75108_3616;;RUE DE LISBONNE;RUE DE MIROMESNIL;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.877701, 2.31548
2013-03-14;11:20;75;108;56, RUE DE MIROMESNIL;75108;1_75108_3632;;RUE DE MIROMESNIL;BOULEVARD HAUSSMANN;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.87573, 2.315763
2013-11-02;14:00;75;108;AVENUE DES CHAMPS ELYSEE;75108;1_75108_3648;;AVENUE DES CHAMPS ELYSEES;AVENUE DUTUIT;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.870842, 2.304316
2012-01-24;19:30;75;111;60, RUE OBERKAMPF;75111;1_75111_9367;;RUE OBERKAMPF;AVENUE PARMENTIER;Scoo50-125;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.864857, 2.373978
2013-07-01;15:10;75;111;88, AVENUE PARMENTIER;75111;1_75111_9367;;AVENUE PARMENTIER;RUE OBERKAMPF;Cyclo;Z;;;;;Piéto;BL;Z;;;;;;;;;;48.864938, 2.374966
2013-09-26;12:00;75;111;88, AVENUE PARMENTIER;75111;1_75111_9367;;AVENUE PARMENTIER;RUE OBERKAMPF;VL;A;Cyclo;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.864938, 2.374966
2013-11-23;01:45;75;111;83, RUE DU FAUBOURG SAIN;75111;1_75111_9380;;RUE DU FAUBOURG SAINT ANTOINE;COUR DES TROIS FRERES;Cyclo;A;VL;B;;;Cond;BL;A;Cond;Indem;B;Pass;BL;A;;;;48.851638, 2.374904
2013-05-07;21:10;75;111;153, RUE SAINT MAUR;75111;1_75111_9385;;RUE SAINT MAUR;RUE DE LA FONTAINE AU ROI;VL;A;Scoo50-125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.868302, 2.37491
2012-11-14;17:30;75;111;86, BOULEVARD VOLTAIRE;75111;1_75111_9417;;BOULEVARD VOLTAIRE;RUE LACHARRIERE;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;;48.860589, 2.375116
2013-06-26;10:50;75;111;BOULEVARD VOLTAIRE;75111;1_75111_9417;;BOULEVARD VOLTAIRE;RUE LACHARRIERE;VL;A;Scoo>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.857022, 2.381415
2013-11-19;08:20;75;111;73, BOULEVARD VOLTAIRE;75111;1_75111_9417;;BOULEVARD VOLTAIRE;RUE LACHARRIERE;VU;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.860676, 2.37562
2013-04-06;13:30;75;111;86, BOULEVARD VOLTAIRE;75111;1_75111_9439;;BOULEVARD VOLTAIRE;IMPASSE TRUILLOT;VL;A;;;;;Cond;BL;A;;;;;;;;;;48.860589, 2.375116
2013-06-09;12:00;75;111;73, BOULEVARD VOLTAIRE;75111;1_75111_9439;;BOULEVARD VOLTAIRE;IMPASSE TRUILLOT;Scoo50-125;A;VU;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.860676, 2.37562
2013-02-27;09:45;75;111;30, RUE DE CHARONNE;75111;1_75111_9464;;RUE DE CHARONNE;RUE DES TAILLANDIERS;VL;A;;;;;Piéto;BH;A;Cond;Indem;A;;;;;;;48.853264, 2.375801
2012-04-24;19:25;75;111;99, RUE DU FAUBOURG SAIN;75111;1_75111_9499;;RUE DU FAUBOURG SAINT ANTOINE;AVENUE LEDRU ROLLIN;VL;A;Bicy;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.85146, 2.375893
2013-09-14;17:45;75;111;99, RUE DU FAUBOURG SAIN;75111;1_75111_9499;;RUE DU FAUBOURG SAINT ANTOINE;AVENUE LEDRU ROLLIN;VL;A;Moto>125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.85146, 2.375893
2012-12-15;21:59;75;111;51, AVENUE PARMENTIER;75111;1_75111_9504;;AVENUE PARMENTIER;RUE LECHEVIN;VL;A;Cyclo;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.863199, 2.375882
2012-12-07;21:55;75;111;14, RUE MORAND;75111;1_75111_9516;;RUE MORAND;RUE DE LA FONTAINE AU ROI;Cyclo;A;VU;B;;;Cond;Indem;B;Cond;BL;A;;;;;;;48.868779, 2.376457
2012-03-27;18:30;75;111;58, AVENUE PARMENTIER;75111;1_75111_9530;;AVENUE PARMENTIER;RUE PASTEUR;Cyclo;A;;;;;Cond;Indem;A;Piéto;BH;A;;;;;;;48.862574, 2.376711
2012-11-12;09:50;75;111;01, BOULEVARD DE BELLEVI;75111;1_75111_9564;;BOULEVARD DE BELLEVILLE;RUE DU FAUBOURG DU TEMPLE;VU;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;;48.869213, 2.380014
2012-10-20;23:00;75;111;100, BOULEVARD VOLTAIRE;75111;1_75111_9569;;BOULEVARD VOLTAIRE;RUE DU CHEMIN VERT;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.859803, 2.376434
2012-10-29;13:30;75;111;102, BOULEVARD VOLTAIRE;75111;1_75111_9569;;BOULEVARD VOLTAIRE;RUE DU CHEMIN VERT;VL;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;;48.859586, 2.376798
2013-02-07;14:00;75;111;89, BOULEVARD VOLTAIRE;75111;1_75111_9569;;BOULEVARD VOLTAIRE;RUE DU CHEMIN VERT;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.859718, 2.377227
2013-11-26;08:50;75;111;21, RUE POPINCOURT;75111;1_75111_9577;;RUE POPINCOURT;RUE SEDAINE;VU;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.857839, 2.376997
2013-10-16;17:10;75;111;48, AVENUE PARMENTIER;75111;1_75111_9580;;AVENUE PARMENTIER;RUE SAINT AMBROISE;Scoo50-125;A;;;;;Cond;BL;A;;;;;;;;;;48.861972, 2.377269
2013-11-07;11:10;75;111;127, RUE DU FAUBOURG SAI;75111;1_75111_9622;;RUE DU FAUBOURG SAINT ANTOINE;COUR DU SAINT ESPRIT;VL;A;Scoo50-125;B;VL;C;Cond;BL;B;Cond;Indem;A;Cond;Indem;C;;;;48.851083, 2.377406
2013-12-20;16:30;75;111;2, RUE DE LA PRESENTATIO;75111;1_75111_9631;;RUE DE LA PRESENTATION;RUE DE L ORILLON;VL;A;Scoo50-125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.870666, 2.377565
2013-10-06;08:50;75;111;133, RUE DU FAUBOURG SAI;75111;1_75111_9646;;RUE DU FAUBOURG SAINT ANTOINE;PASSAGE DE LA MAIN D OR;Scoo<=50;A;Scoo50-125;B;;;Cond;Indem;B;Cond;Indem;A;Pass;BL;A;;;;48.850942, 2.377769
2013-03-20;15:55;75;111;19, AVENUE PARMENTIER;75111;1_75111_9689;;AVENUE PARMENTIER;RUE ROCHEBRUNE;Cyclo;A;;;;;Cond;BL;A;;;;;;;;;;48.860649, 2.378052
2013-10-25;23:30;75;111;124, BOULEVARD VOLTAIRE;75111;1_75111_9712;;BOULEVARD VOLTAIRE;RUE SEDAINE;Scoo50-125;A;;;;;Cond;BH;A;;;;;;;;;;48.858561, 2.378519
2013-04-12;14:00;75;111;124, BOULEVARD VOLTAIRE;75111;1_75111_9712;;BOULEVARD VOLTAIRE;RUE SEDAINE;Moto>125;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;;48.858561, 2.378519
2013-12-13;09:15;75;111;59, BOULEVARD DE BELLEVI;75111;1_75111_9753;;BOULEVARD DE BELLEVILLE;RUE DE LA FONTAINE AU ROI;Bicy;A;;;;;Cond;BL;A;;;;;;;;;;48.87006, 2.378897
2012-06-20;10:00;75;111;162, AVENUE LEDRU ROLLIN;75111;1_75111_9762;;AVENUE LEDRU ROLLIN;COUR DEBILLE;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.856276, 2.379198
2012-01-17;14:20;75;111;7, PLACE LEON BLUM;75111;1_75111_9774;;PLACE LEON BLUM;BOULEVARD VOLTAIRE;Scoo<=50;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;;48.858054, 2.3792
