Date;Heure;Dept;Com;Adresse;Code postal;Carr;Segm;Lieu 1 NomV;Lieu 2 NomV;Véhicule 1 Cadmin;Véhicule 1 LVeh;Véhicle 2 CAdmin;Véhicule 2 LVeh;Véhicule 3 CAdmin;Véhicule 3 LVeh;Usager 1 CatU;Usager 1 Grav;Usager 1 Lveh;Usager 2 CatU;Usager 2 Grav;Usager 2 Lveh;Usager 3 CatU;Usager 3 Grav;Usager 3 Lveh;Usager 4 CatU;Usager 4 Grav;Usager 4 Lveh;Coordonnées
2012-10-14;11:15;75;116;45, AVENUE GEORGES MANDE;75116;1_75116_1250;;AVENUE GEORGES MANDEL;RUE DU PASTEUR MARC BOEGNER;VL;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.863519, 2.281163
2012-08-16;20:40;75;116;VOIE GEORGES POMPIDOU;75116;1_75116_1251;;VOIE GEORGES POMPIDOU;VOIE GEORGES POMPIDOU;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.844444, 2.271958
2012-11-09;12:30;75;116;AVENUE GEORGES MANDEL;75116;1_75116_1259;;AVENUE GEORGES MANDEL;RUE DES SABLONS;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;;48.863241, 2.28288
2012-07-19;18:50;75;116;94, RUE DE LONGCHAMP;75116;1_75116_1266;;RUE DE LONGCHAMP;RUE GUSTAVE COURBET;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.865125, 2.287883
2013-07-04;11:20;75;116;25, RUE RAYNOUARD;75116;1_75116_1293;;RUE RAYNOUARD;RUE CHERNOVIZ;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.856716, 2.282536
2012-07-31;13:36;75;116;AVENUE DE LA PORTE DE SA;75116;1_75116_131;;AVENUE DE LA PORTE DE SAINT CLOUD;AVENUE DE LA PORTE DE SAINT CLOUD;VL;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.838755, 2.254438
2012-07-11;09:30;75;116;9, PLACE DE MEXICO;75116;1_75116_1334;;PLACE DE MEXICO;RUE DES BELLES FEUILLES;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.865616, 2.283314
2013-07-18;14:25;75;116;46, AVENUE DU PRESIDENT;75116;1_75116_1356;;AVENUE DU PRESIDENT KENNEDY;RUE ANKARA;VL;A;Cyclo;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.863558, 2.28869
2013-06-14;18:25;75;116;89, AVENUE DE LA GRANDE;75116;1_75116_1363;;AVENUE DE LA GRANDE ARMEE;PLACE DE LA PORTE MAILLOT;Moto50-125;A;Moto50-125;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.874383, 2.292007
2012-04-20;17:15;75;116;10, PLACE VICTOR HUGO;75116;1_75116_1419;;PLACE VICTOR HUGO;AVENUE BUGEAUD;VL;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.869637, 2.284997
